month,section,EDM_code
August,1,1EDM
December,1,1EDM
July,1,1EDM
November,1,1EDM
October,1,1EDM
September,1,1EDM
August,1.1,1EDM
December,1.1,1EDM
July,1.1,1EDM
November,1.1,1EDM
October,1.1,1EDM
September,1.1,1EDM
August,1.2,12EDM
December,1.2,1EDM
July,1.2,12EDM
November,1.2,12EDM
October,1.2,12EDM
September,1.2,12EDM
August,2,1EDM
December,2,1EDM
July,2,1EDM
November,2,1EDM
October,2,1EDM
September,2,1EDM
August,3,1EDM
December,3,1EDM
July,3,1EDM
November,3,1EDM
October,3,1EDM
September,3,1EDM
August,4,2EDM
December,4,2EDM
July,4,2EDM
November,4,2EDM
October,4,2EDM
September,4,2EDM
August,5,2EDM
December,5,2EDM
July,5,2EDM
November,5,2EDM
October,5,2EDM
September,5,2EDM
August,6,2EDM
December,6,2EDM
July,6,2EDM
November,6,2EDM
October,6,2EDM
September,6,2EDM
August,7,2EDM
December,7,2EDM
July,7,2EDM
November,7,2EDM
October,7,2EDM
September,7,2EDM
August,8,8EDM
December,8,8EDM
July,8,8EDM
November,8,8EDM
October,8,8EDM
September,8,8EDM
August,8.1,8EDM
December,8.1,8EDM
July,8.1,8EDM
November,8.1,8EDM
October,8.1,8EDM
September,8.1,8EDM
August,8.5,2EDM
December,8.5,8EDM
July,8.5,8EDM
November,8.5,8EDM
October,8.5,8EDM
September,8.5,8EDM
August,9,1EDM
December,9,1EDM
July,9,1EDM
November,9,1EDM
October,9,1EDM
September,9,1EDM
August,10,3EDM
December,10,3EDM
July,10,3EDM
November,10,3EDM
October,10,3EDM
September,10,3EDM
August,10.1,3EDM
December,10.1,3EDM
July,10.1,3EDM
November,10.1,3EDM
October,10.1,3EDM
September,10.1,3EDM
August,10.2,3EDM
December,10.2,3EDM
July,10.2,3EDM
November,10.2,3EDM
October,10.2,3EDM
September,10.2,3EDM
August,11.1,4EDM
December,11.1,4EDM
July,11.1,4EDM
November,11.1,4EDM
October,11.1,4EDM
September,11.1,4EDM
August,11.2,4EDM
December,11.2,4EDM
July,11.2,4EDM
November,11.2,4EDM
October,11.2,4EDM
September,11.2,4EDM
August,12.2,1EDM
December,12.2,2EDM
July,12.2,2EDM
November,12.2,2EDM
October,12.2,2EDM
September,12.2,2EDM
August,13,11EDM
December,13,11EDM
July,13,1EDM
November,13,11EDM
October,13,11EDM
September,13,11EDM
August,14,11EDM
December,14,11EDM
July,14,11EDM
November,14,11EDM
October,14,11EDM
September,14,11EDM
August,16,7EDM
December,16,7EDM
July,16,7EDM
November,16,7EDM
October,16,7EDM
September,16,7EDM
August,17,7EDM
December,17,7EDM
July,17,7EDM
November,17,7EDM
October,17,7EDM
September,17,7EDM
August,19,11EDM
December,19,11EDM
July,19,11EDM
November,19,11EDM
October,19,11EDM
September,19,11EDM
August,20,11EDM
December,20,11EDM
July,20,1EDM
November,20,11EDM
October,20,11EDM
September,20,11EDM
August,12.0DB,6EDM
December,12.0DB,6EDM
July,12.0DB,6EDM
November,12.0DB,6EDM
October,12.0DB,6EDM
September,12.0DB,6EDM
August,12.0DS,5EDM
December,12.0DS,5EDM
July,12.0DS,5EDM
November,12.0DS,5EDM
October,12.0DS,5EDM
September,12.0DS,5EDM
August,12.0U,1EDM
December,12.0U,8EDM
July,12.0U,1EDM
November,12.0U,8EDM
October,12.0U,1EDM
September,12.0U,8EDM
August,12.1B,6EDM
December,12.1B,6EDM
July,12.1B,6EDM
November,12.1B,6EDM
October,12.1B,6EDM
September,12.1B,6EDM
August,12.1S,5EDM
December,12.1S,5EDM
July,12.1S,5EDM
November,12.1S,5EDM
October,12.1S,5EDM
September,12.1S,5EDM
July,5 opener,2EDM
July,6 opener,2EDM
August,7 opener,NA
August,7.1B opener,NA
August,7.1B,2EDM
December,7.1B,2EDM
July,7.1B,2EDM
November,7.1B,2EDM
October,7.1B,2EDM
September,7.1B,2EDM
August,7.1S opener ,NA
August,7.1S,10EDM
December,7.1S,10EDM
July,7.1S,10EDM
November,7.1S,10EDM
October,7.1S,10EDM
September,7.1S,10EDM
August,BEAV,7EDM
December,BEAV,7EDM
July,BEAV,7EDM
November,BEAV,7EDM
October,BEAV,7EDM
September,BEAV,7EDM
August,HSL,7EDM
December,HSL,7EDM
July,HSL,7EDM
November,HSL,7EDM
October,HSL,7EDM
September,HSL,7EDM
August,SYCSL,7EDM
December,SYCSL,7EDM
July,SYCSL,7EDM
November,SYCSL,7EDM
October,SYCSL,7EDM
September,SYCSL,7EDM
