hours,WE,WD,both,site_grouping,month
5,0,0,0,12EDM,October
6,4.612365064,2.836879433,4.227517294,12EDM,October
7,6.771344455,7.80141844,6.994619523,12EDM,October
8,7.163886163,8.156028369,7.378939277,12EDM,October
9,7.26202159,9.574468085,7.763259032,12EDM,October
10,7.55642787,9.929078014,8.070714835,12EDM,October
11,7.065750736,12.05673759,8.147578786,12EDM,October
12,7.458292444,11.70212766,8.378170638,12EDM,October
13,7.654563297,9.929078014,8.147578786,12EDM,October
14,9.322865554,6.382978723,8.685626441,12EDM,October
15,9.322865554,5.673758865,8.53189854,12EDM,October
16,8.439646712,6.028368794,7.916986933,12EDM,October
17,7.948969578,5.673758865,7.455803228,12EDM,October
18,6.378802748,3.191489362,5.68793236,12EDM,October
19,3.042198234,1.063829787,2.613374327,12EDM,October
20,0,0,0,12EDM,October
21,0,0,0,12EDM,October
22,0,0,0,12EDM,October
5,0,0,z,11EDM,October
6,0,0,z,11EDM,October
7,0,0,z,11EDM,October
8,0,0,z,11EDM,October
9,2.78,6.1,z,11EDM,October
10,11.77,7.32,z,11EDM,October
11,13.69,6.71,z,11EDM,October
12,13.59,8.54,z,11EDM,October
13,19.15,10.98,z,11EDM,October
14,9.89,5.49,z,11EDM,October
15,4.02,3.05,z,11EDM,October
16,10.91,1.83,z,11EDM,October
17,10.53,0,z,11EDM,October
18,3.67,0,z,11EDM,October
19,0,0,z,11EDM,October
20,0,0,z,11EDM,October
21,0,0,z,11EDM,October
22,0,0,z,11EDM,October
5,0,0,0,10EDM,October
6,0.75,0.75,0.75,10EDM,October
7,7.231,7.231,7.231,10EDM,October
8,7.257,7.257,7.257,10EDM,October
9,10.31,10.31,10.31,10EDM,October
10,11.67,11.67,11.67,10EDM,October
11,11.15,11.15,11.15,10EDM,October
12,8.781,8.781,8.781,10EDM,October
13,8.156,8.156,8.156,10EDM,October
14,7.732,7.732,7.732,10EDM,October
15,7.423,7.423,7.423,10EDM,October
16,6.809,6.809,6.809,10EDM,October
17,6.65,6.65,6.65,10EDM,October
18,4.926,4.926,4.926,10EDM,October
19,1.156,1.156,1.156,10EDM,October
20,0,0,0,10EDM,October
21,0,0,0,10EDM,October
22,0,0,0,10EDM,October
5,x,y,z,9EDM,October
6,x,y,z,9EDM,October
7,x,y,z,9EDM,October
8,x,y,z,9EDM,October
9,x,y,z,9EDM,October
10,x,y,z,9EDM,October
11,x,y,z,9EDM,October
12,x,y,z,9EDM,October
13,x,y,z,9EDM,October
14,x,y,z,9EDM,October
15,x,y,z,9EDM,October
16,x,y,z,9EDM,October
17,x,y,z,9EDM,October
18,x,y,z,9EDM,October
19,x,y,z,9EDM,October
20,x,y,z,9EDM,October
21,x,y,z,9EDM,October
22,x,y,z,9EDM,October
5,0.136923779,0,9.71E-02,8EDM,October
6,4.107713373,4.730105732,4.288719858,8EDM,October
7,9.675947056,9.515859766,9.629389869,8EDM,October
8,10.97672296,11.57484697,11.15067163,8EDM,October
9,11.45595618,12.91040623,11.87894481,8EDM,October
10,11.57005933,13.18864775,12.0407833,8EDM,October
11,11.06800548,11.57484697,11.21540702,8EDM,October
12,10.22364217,9.79410128,10.09872148,8EDM,October
13,8.466453674,8.069003895,8.350865836,8EDM,October
14,6.503879507,6.399554814,6.473539408,8EDM,October
15,5.294386125,4.674457429,5.114096132,8EDM,October
16,4.244637152,3.394546466,3.997410584,8EDM,October
17,2.96668188,2.281580412,2.767438097,8EDM,October
18,2.350524874,1.725097385,2.168635702,8EDM,October
19,0.958466454,0.166944908,0.728273183,8EDM,October
20,0,0,0,8EDM,October
21,0,0,0,8EDM,October
22,x,y,z,8EDM,October
5,8.23E-02,0,4.64E-02,7EDM,October
6,3.04526749,1.703940362,2.460538533,7EDM,October
7,6.008230453,7.880724175,6.824512535,7EDM,October
8,7.242798354,9.158679446,8.077994429,7EDM,October
9,8.724279835,10.01064963,9.285051068,7EDM,October
10,8.724279835,10.75612354,9.610027855,7EDM,October
11,9.135802469,10.96911608,9.935004643,7EDM,October
12,9.62962963,11.39510117,10.3992572,7EDM,October
13,9.62962963,10.33013845,9.935004643,7EDM,October
14,9.053497942,9.691160809,9.331476323,7EDM,October
15,8.148148148,7.135250266,7.706592386,7EDM,October
16,7.736625514,4.898828541,6.499535747,7EDM,October
17,6.008230453,3.088391906,4.735376045,7EDM,October
18,4.444444444,2.236421725,3.48189415,7EDM,October
19,2.386831276,0.745473908,1.671309192,7EDM,October
20,0,0,0,7EDM,October
21,0,0,0,7EDM,October
22,x,y,z,7EDM,October
5,0,0,0,6EDM,October
6,10.09174312,9.586056645,9.941897999,6EDM,October
7,11.55963303,12.41830065,11.8140736,6EDM,October
8,12.11009174,12.41830065,12.20142027,6EDM,October
9,12.66055046,12.41830065,12.58876695,6EDM,October
10,12.75229358,11.32897603,12.33053583,6EDM,October
11,11.65137615,10.23965142,11.23305358,6EDM,October
12,9.633027523,9.368191721,9.554551323,6EDM,October
13,7.431192661,9.368191721,8.005164622,6EDM,October
14,4.678899083,6.753812636,5.293737895,6EDM,October
15,2.752293578,1.74291939,2.45319561,6EDM,October
16,1.28440367,1.74291939,1.420271143,6EDM,October
17,1.467889908,1.307189542,1.420271143,6EDM,October
18,1.19266055,0.871459695,1.097482247,6EDM,October
19,0.733944954,0.435729847,0.645577792,6EDM,October
20,0,0,0,6EDM,October
21,0,0,0,6EDM,October
22,x,y,z,6EDM,October
5,0,0,0,5EDM,October
6,4.688995215,2.777777778,4.276069017,5EDM,October
7,7.081339713,7.986111111,7.276819205,5EDM,October
8,7.272727273,8.333333333,7.501875469,5EDM,October
9,7.081339713,10.06944444,7.726931733,5EDM,October
10,7.368421053,10.41666667,8.027006752,5EDM,October
11,7.177033493,11.80555556,8.177044261,5EDM,October
12,7.559808612,11.45833333,8.402100525,5EDM,October
13,7.846889952,9.722222222,8.252063016,5EDM,October
14,9.186602871,6.25,8.552138035,5EDM,October
