"SpeciesId","SpeciesDE","SpNumDE","Popular","CommonName","OtherName","Phylum","Class","Order","Family","Genus","Species","OrgStatus","CANative","Remark","SpSortAnal","ExpIncl","SpTgtAnal","SpSortDE","SpTgtDE","Predator","TsoranosSpp","SFRA","ShortList","NewRecDate","NewRecClerk","LastUpdDate","LastUpdClerk"
1,"ANY",,-1,"any kind of fish","other",,,,,,,"Active",0,"Only used for the Target Species field.",0.00,-1,-1,1.00,15.00,,,0,-1,,"tlinton",,
2,"AS",,-1,"shad, American",,"Chordata","Actinopterygii","Clupeiformes","Clupeidae","Alosa","sapidissima","Active",0,,8.00,-1,-1,30.00,30.00,,"AS",-1,-1,,"tlinton",,
4,"BB",,,"bass, black, (any species)",,"Chordata","Actinopterygii","Perciformes","Centrarchide","Micropterus",,"Active",0,"All species combined",14.00,-1,-1,37.00,75.00,-1,,0,-1,,"tlinton",,
5,"BLK",,,"blackfish, Sacramento",,"Chordata","Actinopterygii","Cypriniformes","Cyprinidae","Orthodon","microlepidotus","Active",-1,,50.00,0,0,199.00,999.00,,,0,-1,,"tlinton",,
6,"BN",,,"trout, brown",,"Chordata","Actinopterygii","Salmoniformes","Salmonidae","Salmo","trutta","Active",0,,50.00,0,0,99.00,999.00,,,0,-1,,"tlinton",,
7,"CF",,,"catfish (any species)",,"Chordata","Actinopterygii","Siluriformes","Ictaluridae","Ameiurus",,"Active",0,"All species combined",10.00,-1,-1,31.00,35.00,-1,,0,-1,,"tlinton",,
8,"CP",,,"carp",,"Chordata","Actinopterygii","Cypriniformes","Cyprinidae","Cyprinus","carpio","Active",0,,17.00,0,-1,33.00,45.00,,,0,-1,,"tlinton",,
9,"HH",,,"hardhead",,"Chordata","Actinopterygii","Cypriniformes","Cyprinidae","Mylopharodon","conocephalus","Active",-1,,25.00,0,-1,199.00,115.00,,,0,-1,,"tlinton",,
10,"KF",,,"kingfish","white croaker","Chordata","Actinopterygii","Perciformes","Sciaenidae","Genyonemus","lineatus","Active",0,,50.00,0,-1,199.00,125.00,,,0,-1,,"tlinton",,
11,"CS",,-1,"salmon, Chinook","king","Chordata","Actinopterygii","Salmoniformes","Salmonidae","Oncorhynchus","tshawytscha","Active",-1,,2.00,-1,-1,3.00,5.00,,"CS",-1,-1,,"tlinton",,
